 Lambda1, Lambda2, WSJ Perplexity, HUB Perplexity, HUB WER
 0.1,0.1,549.0160879220656,576.2972674384059,0.08205470313542361
 0.1,0.2,476.5620868022599,496.8036278965258,0.07938625750500333
 0.1,0.30000000000000004,437.59443057222563,453.2112242303741,0.07671781187458306
 0.1,0.4,416.05206031787844,428.0843406892486,0.07671781187458306
 0.1,0.5,407.1754504350588,416.02043661186656,0.07738492328218813
 0.1,0.6,410.93062376598783,416.45897964668166,0.0733822548365577
 0.1,0.7,432.9594684548715,434.1852575640961,0.07271514342895263
 0.1,0.7999999999999999,498.95128261452254,491.9454565825636,0.06804536357571714
 0.1,0.8999999999999999,Infinity,3648098.129586856,0.08405603735823883
 0.2,0.1,502.33084146183774,530.6524034938742,0.0847231487658439
 0.2,0.2,445.14855178535737,466.28855406919365,0.07938625750500333
 0.2,0.30000000000000004,416.53094587249075,432.98304506479934,0.07471647765176785
 0.2,0.4,404.06176377562224,416.7893640935255,0.0780520346897932
 0.2,0.5,405.59269239376397,414.7834342245479,0.07471647765176785
 0.2,0.6,425.85020348343255,430.791187832172,0.07471647765176785
 0.2,0.7,489.6434749778188,486.87626989457357,0.0713809206137425
 0.2,0.7999999999999999,Infinity,3604955.022432621,0.08805870580386925
 0.30000000000000004,0.1,486.6530017299998,515.8657344160432,0.08338892595063375
 0.30000000000000004,0.2,437.1805441338098,458.9623241329354,0.07738492328218813
 0.30000000000000004,0.30000000000000004,416.0186639049614,432.91199284839365,0.07404936624416278
 0.30000000000000004,0.4,412.96112183680145,425.76740057496335,0.07538358905937291
 0.30000000000000004,0.5,430.4939401153952,438.8624906897545,0.0733822548365577
 0.30000000000000004,0.6,492.60550064771957,493.48712360106254,0.06804536357571714
 0.30000000000000004,0.7,Infinity,Infinity,0.1173187025681723
 0.4,0.1,488.4642461314271,518.9094239616464,0.08272181454302868
 0.4,0.2,444.6037700339956,467.1419236813292,0.0800533689126084
 0.4,0.30000000000000004,432.0679639691811,449.2733225794191,0.07738492328218813
 0.4,0.4,444.8374324359112,457.063085027882,0.07004669779853236
 0.4,0.5,504.9569281415662,509.66144250454187,0.06871247498332221
 0.4,0.6,Infinity,Infinity,0.11665159116056723
 0.5,0.1,505.5068192700895,537.7266639725625,0.08072048032021348
 0.5,0.2,468.1673949318964,491.66773498889216,0.07738492328218813
 0.5,0.30000000000000004,471.0744638992394,488.2773137000181,0.06871247498332221
 0.5,0.4,527.643245547544,536.9129122070799,0.07004669779853236
 0.5,0.5,Infinity,Infinity,0.11665159116056723
 0.6,0.1,541.335002143738,576.1110465887662,0.07938625750500333
 0.6,0.2,516.9534871353069,541.5674553071663,0.07204803202134756
 0.6,0.30000000000000004,564.9861070138433,580.3929097230608,0.07271514342895263
 0.6,0.4,Infinity,Infinity,0.11665159116056723
 0.7,0.1,609.0721821001913,647.5992940557129,0.0800533689126084
 0.7,0.2,628.6652944218423,653.6124510020967,0.06737825216811208
 0.7,0.30000000000000004,Infinity,Infinity,0.11665159116056723
 0.7999999999999999,0.1,759.0234890873229,803.1123407451186,0.07071380920613743
 0.7999999999999999,0.2,Infinity,6308365.923662112,0.08338892595063375
 0.8999999999999999,0.1,Infinity,7350328.193048449,0.08205470313542361
